age,experience,education,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match,years_in_role,promotion_count,employment_type,location_type,company_size,job_satisfaction,salary
25,9,PhD,Senior,HR,Analyst,1,1,6,53,2,7,6.149214741,2.481712673,4,1,Part-time,Rural,Large,5,72750.26995
45,0,Bachelors,Mid,IT,Clerk,4,15,0,31,18,2,2.367687856,7.969801917,5,1,Contract,Rural,Small,5,54365.45016
44,29,PhD,Senior,HR,Clerk,2,9,6,49,13,2,2.374385206,9.185382988,9,3,Full-time,Urban,Large,3,120428.8448
44,15,Masters,Junior,Sales,Manager,5,19,6,47,1,9,1.724119065,9.721098492,9,0,Contract,Rural,Large,5,79884.43726
33,21,PhD,Senior,Finance,Engineer,2,6,5,56,9,8,6.296772001,5.76114237,5,3,Full-time,Urban,Medium,4,94857.14285
43,19,Bachelors,Senior,HR,Clerk,1,6,1,43,1,1,9.27313904,4.516912527,7,3,Part-time,Urban,Large,1,101754.4341
33,16,Bachelors,Senior,Finance,Engineer,1,1,2,41,0,2,5.429570881,8.666691132,3,0,Part-time,Rural,Medium,4,77785.60024
29,2,Masters,Mid,Finance,Engineer,5,11,3,30,12,8,6.617697504,6.441876246,1,3,Part-time,Semi-Urban,Medium,2,53485.949
22,15,Bachelors,Junior,IT,Engineer,5,2,6,47,18,10,4.896770332,8.786507805,5,4,Part-time,Semi-Urban,Medium,5,93725.5797
40,18,Masters,Senior,Sales,Analyst,4,1,3,44,4,5,1.421983481,2.643267182,6,0,Full-time,Urban,Medium,4,101624.9041
47,3,Masters,Mid,HR,Analyst,2,9,9,46,7,3,1.605501759,4.919712212,9,3,Contract,Semi-Urban,Large,3,61784.15641
32,18,PhD,Mid,Finance,Manager,2,8,2,46,15,1,8.317461669,1.582797689,6,2,Full-time,Semi-Urban,Large,1,92230.8189
22,26,Bachelors,Junior,Finance,Clerk,5,4,1,52,6,11,1.67302596,4.112754269,4,0,Part-time,Rural,Small,3,114691.3311
43,21,Bachelors,Mid,Sales,Engineer,2,9,4,39,11,10,6.166889456,1.262502612,4,1,Full-time,Semi-Urban,Large,3,88443.89259
35,2,PhD,Junior,Finance,Analyst,3,5,2,55,9,8,6.386020516,2.732435628,5,2,Part-time,Semi-Urban,Small,3,59399.94327
22,23,Masters,Senior,HR,Engineer,3,8,0,58,8,11,2.95308713,7.910299697,9,1,Part-time,Rural,Medium,5,100551.4468
30,24,PhD,Mid,Sales,Manager,5,14,4,54,8,14,2.94038485,7.55836775,3,4,Contract,Urban,Small,1,96799.42615
21,8,Bachelors,Senior,HR,Clerk,5,5,6,30,2,6,2.432978518,1.867068826,2,3,Contract,Rural,Large,1,79576.46111
45,26,PhD,Junior,Sales,Analyst,3,3,4,52,7,7,5.161135602,3.691446442,5,0,Contract,Semi-Urban,Medium,5,94991.87133
36,9,Bachelors,Senior,Sales,Manager,4,2,2,44,7,4,4.508147219,9.981973622,5,2,Part-time,Urban,Medium,5,95470.51557
25,1,PhD,Mid,IT,Clerk,3,16,3,31,16,5,6.197173298,1.94624702,7,4,Full-time,Rural,Large,2,52068.66972
52,0,PhD,Mid,Sales,Analyst,5,16,5,30,12,3,9.804372629,4.326241775,6,0,Contract,Semi-Urban,Small,1,53211.86276
29,22,Masters,Mid,Sales,Clerk,5,11,1,57,8,6,1.936899382,8.529514661,1,2,Full-time,Rural,Medium,3,97633.31697
40,20,Masters,Junior,HR,Analyst,5,13,9,35,7,1,5.65040829,7.337643818,2,0,Full-time,Urban,Small,2,105400.5809
43,2,Masters,Junior,IT,Analyst,1,14,6,32,7,2,3.772832166,6.33284714,3,2,Part-time,Urban,Medium,2,47903.24873
44,11,Bachelors,Senior,Finance,Clerk,4,3,6,37,4,2,4.3935093,4.986225961,3,2,Full-time,Semi-Urban,Small,3,76353.98045
46,6,Masters,Senior,IT,Analyst,5,11,9,45,8,6,6.172612048,3.047190487,5,0,Full-time,Rural,Large,4,81211.24063
22,12,PhD,Mid,IT,Manager,5,10,7,33,14,1,5.611802706,2.377097597,4,2,Contract,Rural,Small,5,94741.31982
50,7,Masters,Mid,HR,Analyst,4,17,1,39,19,13,2.144753909,2.314919988,1,4,Full-time,Semi-Urban,Small,3,50943.65789
24,16,PhD,Senior,IT,Engineer,1,2,2,57,12,14,2.94978094,1.723624307,8,2,Part-time,Semi-Urban,Medium,4,70877.13011
55,7,Bachelors,Junior,Finance,Manager,3,1,2,59,3,11,7.174794071,3.866120139,0,1,Contract,Semi-Urban,Large,5,74161.13824
49,28,PhD,Senior,IT,Engineer,1,3,6,48,18,13,4.051615276,2.042141382,6,2,Full-time,Semi-Urban,Medium,1,96472.18494
51,25,Masters,Senior,IT,Clerk,4,17,8,44,12,12,4.261876495,7.316728585,8,1,Full-time,Urban,Large,3,104195.9508
34,2,Masters,Junior,Sales,Analyst,2,4,2,52,14,14,2.748364426,3.26169804,5,2,Contract,Urban,Medium,1,41862.40207
25,4,Masters,Senior,Finance,Manager,1,17,0,49,0,9,6.753276008,6.645221612,4,0,Part-time,Urban,Small,5,63566.54194
21,17,Masters,Mid,Finance,Analyst,3,18,8,39,13,2,1.440099394,1.422264027,8,2,Full-time,Rural,Large,1,89728.81623
32,14,Bachelors,Mid,Sales,Engineer,5,11,6,48,13,5,7.295706153,4.983092501,8,0,Full-time,Urban,Large,1,83227.41715
24,24,Bachelors,Mid,Finance,Analyst,4,11,2,43,14,7,7.602303655,7.722669797,4,2,Full-time,Urban,Large,2,114036.5074
56,16,Bachelors,Mid,Finance,Analyst,2,4,9,34,6,3,6.645310599,3.564770517,7,2,Part-time,Semi-Urban,Medium,4,97797.03522
45,19,Bachelors,Mid,Sales,Manager,2,15,0,32,12,3,8.494139347,2.454671194,2,4,Part-time,Urban,Medium,3,104949.7448
26,22,Masters,Junior,IT,Clerk,4,17,1,44,19,9,6.594911173,9.971953685,7,0,Contract,Urban,Large,5,120909.2556
42,26,Masters,Junior,IT,Clerk,1,16,7,39,11,13,7.079470695,9.986797456,4,3,Full-time,Semi-Urban,Small,2,118258.6276
48,23,Bachelors,Senior,Sales,Analyst,3,3,7,44,6,6,1.138981923,3.859071299,2,3,Part-time,Rural,Medium,3,94774.86748
48,4,Masters,Mid,Finance,Engineer,4,7,9,57,13,5,3.07813625,1.347947106,9,4,Full-time,Urban,Large,3,46252.67278
24,13,Masters,Senior,Sales,Analyst,3,16,0,38,15,6,5.464051569,9.846390345,1,1,Part-time,Rural,Large,4,79999.71998
37,5,Bachelors,Junior,HR,Engineer,5,6,5,37,12,12,2.422863056,9.926000225,2,3,Part-time,Rural,Medium,2,68190.06333
36,0,Masters,Junior,Finance,Engineer,2,2,9,32,19,11,4.723933345,7.973367266,9,1,Part-time,Rural,Large,5,70202.97406
56,6,Masters,Mid,HR,Engineer,3,4,6,54,8,1,2.490966656,4.153046252,5,0,Part-time,Rural,Medium,1,56504.62216
55,25,PhD,Junior,HR,Manager,4,6,6,47,11,9,5.31100931,2.148150814,8,1,Full-time,Semi-Urban,Small,2,90458.79029
38,10,PhD,Junior,IT,Manager,1,10,6,37,7,12,6.195834777,5.578170141,0,1,Contract,Semi-Urban,Large,4,79245.63895
31,12,Masters,Senior,Sales,Engineer,2,9,9,56,1,10,5.181523408,9.858816481,4,0,Contract,Rural,Medium,2,95518.10318
58,28,PhD,Senior,IT,Manager,4,2,9,36,11,11,8.218634838,7.090569745,7,2,Full-time,Rural,Large,5,133596.3185
36,18,Masters,Mid,HR,Manager,3,13,6,53,0,2,6.641045576,1.837833525,8,2,Full-time,Semi-Urban,Large,3,98635.44581
50,3,Masters,Junior,Finance,Analyst,2,19,8,30,3,6,7.982277525,8.644853831,5,4,Full-time,Urban,Large,1,62997.10212
32,23,Masters,Senior,Sales,Analyst,2,16,1,37,0,12,5.987589483,6.035535075,5,0,Full-time,Urban,Large,5,85716.23157
42,21,Bachelors,Senior,HR,Engineer,4,17,9,44,5,13,4.696668627,9.122968964,3,1,Full-time,Rural,Small,1,92637.23138
42,2,Bachelors,Mid,Sales,Manager,4,12,7,33,1,12,7.437125138,4.910552616,4,4,Contract,Rural,Medium,4,49532.78828
49,4,Bachelors,Senior,HR,Analyst,1,15,1,32,6,11,8.722735475,3.555157688,7,1,Part-time,Rural,Small,5,69126.9247
40,6,PhD,Senior,IT,Analyst,1,10,9,51,10,14,3.369930783,3.716000313,0,4,Part-time,Urban,Medium,1,61775.13116
46,25,Bachelors,Mid,IT,Engineer,2,4,8,42,7,10,6.477867853,3.394342814,2,4,Part-time,Urban,Large,2,92125.07923
45,18,PhD,Mid,Finance,Clerk,3,12,9,33,16,4,2.326840844,2.121963438,9,4,Full-time,Rural,Small,5,83162.19697
55,11,Bachelors,Senior,Sales,Engineer,4,19,6,56,10,5,4.7122509,4.477901082,7,3,Part-time,Rural,Medium,5,83356.7322
55,2,Masters,Mid,Sales,Clerk,2,9,0,41,1,12,3.491763672,4.40547969,8,2,Full-time,Semi-Urban,Large,2,41523.3393
27,3,PhD,Senior,Sales,Manager,5,7,8,31,18,12,6.417047545,5.618502914,0,0,Full-time,Semi-Urban,Large,5,67979.25104
24,1,Masters,Mid,HR,Manager,3,18,3,45,7,5,5.195515697,5.187672217,8,4,Full-time,Semi-Urban,Small,2,57747.72236
45,11,PhD,Junior,IT,Manager,1,3,3,45,17,2,2.661476691,6.81402972,7,0,Full-time,Urban,Large,2,78694.31235
54,29,Bachelors,Junior,HR,Analyst,4,10,6,36,2,10,6.078664282,2.349630547,0,2,Part-time,Urban,Small,5,119074.2209
36,27,Bachelors,Junior,Finance,Manager,4,6,6,52,19,4,2.547081884,3.910903745,6,1,Part-time,Urban,Medium,5,107000.1664
33,6,PhD,Junior,IT,Clerk,4,13,1,48,10,12,2.800110376,9.991587513,9,3,Part-time,Rural,Small,3,72728.01539
58,21,Masters,Senior,IT,Analyst,5,8,8,56,4,10,3.666481368,7.181619954,1,0,Full-time,Rural,Medium,4,94994.42531
45,1,PhD,Senior,Finance,Engineer,5,10,3,49,16,1,7.150431781,9.573933814,5,1,Full-time,Urban,Large,1,70886.15236
51,7,Bachelors,Senior,IT,Engineer,5,1,7,51,2,11,9.351654896,8.527303455,6,2,Full-time,Semi-Urban,Large,2,76416.41904
27,2,Masters,Junior,IT,Analyst,5,5,2,55,12,10,1.678946581,6.324302925,0,1,Part-time,Rural,Large,3,51401.11009
26,26,Masters,Senior,IT,Manager,3,8,0,46,11,2,8.886946109,4.403140791,5,0,Full-time,Semi-Urban,Small,2,100779.7151
34,1,Masters,Senior,IT,Clerk,4,6,3,47,5,9,6.322343914,9.590883655,5,1,Part-time,Urban,Small,2,51899.4043
25,4,Masters,Mid,Sales,Engineer,5,5,9,38,16,9,2.697264322,6.042316373,4,2,Part-time,Urban,Large,3,70389.04397
58,29,Masters,Senior,HR,Manager,5,11,8,48,5,10,8.468222079,4.771477846,2,0,Full-time,Rural,Small,5,125430.9955
28,15,PhD,Junior,HR,Clerk,1,11,1,32,8,4,3.716024259,2.915563316,7,2,Contract,Semi-Urban,Small,4,80767.70024
37,11,Bachelors,Junior,Sales,Analyst,1,19,6,45,14,14,2.290893676,5.92353259,8,2,Part-time,Urban,Small,5,76125.13278
55,14,PhD,Senior,Finance,Analyst,3,9,1,49,16,4,6.419333729,2.887663406,2,2,Part-time,Urban,Medium,5,83143.52982
36,22,Bachelors,Junior,Sales,Engineer,5,11,9,41,9,4,3.555836943,8.946620221,7,4,Full-time,Semi-Urban,Medium,2,98887.78121
43,10,Bachelors,Senior,Sales,Engineer,2,16,7,34,9,3,2.474546489,5.274242072,6,3,Part-time,Rural,Medium,1,83240.63698
27,23,Masters,Mid,IT,Clerk,2,3,4,42,5,11,7.972423504,4.965613616,5,0,Full-time,Rural,Small,3,93128.15984
45,22,PhD,Mid,HR,Engineer,2,14,1,37,13,7,4.458328967,5.377547722,0,4,Full-time,Urban,Large,5,88530.38623
48,15,Masters,Senior,Finance,Manager,4,14,4,47,0,13,7.126727427,4.356866868,9,2,Contract,Urban,Small,2,77297.96767
37,18,Bachelors,Junior,Finance,Clerk,4,2,0,41,15,5,5.81246795,3.757759891,7,3,Part-time,Urban,Large,4,99234.77982
22,26,Bachelors,Junior,IT,Engineer,1,9,9,47,6,14,8.841642942,2.120319207,5,1,Part-time,Semi-Urban,Small,3,114815.026
40,1,PhD,Junior,IT,Analyst,3,2,6,50,13,10,5.330083824,9.583490907,2,4,Contract,Rural,Small,1,63939.27291
57,15,Bachelors,Mid,IT,Manager,4,11,6,47,10,1,2.50701409,5.042276684,3,3,Full-time,Semi-Urban,Medium,1,86709.74611
43,9,Bachelors,Junior,Sales,Engineer,2,14,9,30,1,14,3.955506545,5.879851263,9,3,Part-time,Urban,Small,4,84420.32806
52,14,PhD,Junior,IT,Analyst,1,17,1,59,17,11,9.862037065,8.282732053,3,1,Part-time,Semi-Urban,Medium,2,95516.31553
44,25,PhD,Mid,HR,Analyst,1,7,8,58,5,12,7.529104182,5.790396789,6,4,Part-time,Urban,Large,5,101745.5803
46,26,Bachelors,Mid,IT,Analyst,2,4,8,56,8,3,5.674066829,5.213737137,5,0,Part-time,Urban,Medium,4,101127.5514
24,8,PhD,Senior,IT,Engineer,3,6,7,56,19,6,9.282809134,5.316371544,5,4,Full-time,Semi-Urban,Small,4,71944.45499
35,14,Masters,Junior,HR,Engineer,1,19,9,35,13,13,7.275041884,7.485768273,0,4,Full-time,Urban,Small,3,69277.96381
49,26,Bachelors,Senior,Finance,Engineer,4,17,1,40,5,11,4.154839679,7.276017327,4,3,Full-time,Rural,Medium,2,117251.0605
42,1,Bachelors,Senior,IT,Engineer,2,5,0,32,16,13,1.929466118,1.490882234,3,4,Full-time,Semi-Urban,Medium,1,56891.5248
47,9,Masters,Mid,IT,Clerk,1,3,0,54,7,2,6.61891245,2.727342072,4,3,Contract,Semi-Urban,Small,2,67753.72294
37,29,PhD,Mid,Finance,Analyst,2,9,6,36,2,13,8.140049058,2.784758279,9,4,Part-time,Semi-Urban,Small,5,100995.759
28,11,PhD,Junior,Sales,Engineer,5,12,4,33,14,3,1.985910248,5.023872286,8,1,Full-time,Rural,Large,4,69443.55699
29,28,PhD,Senior,IT,Analyst,3,2,9,30,6,7,5.003917063,3.666449412,9,0,Full-time,Semi-Urban,Small,4,108891.6564
54,19,Masters,Junior,IT,Clerk,1,4,4,37,8,10,4.723238967,7.87743138,6,0,Full-time,Urban,Medium,2,76318.15662
32,14,PhD,Mid,Sales,Analyst,2,9,1,41,15,2,6.136263391,7.159643286,7,2,Full-time,Rural,Medium,1,97572.83533
30,21,Bachelors,Mid,HR,Manager,5,4,0,54,17,9,7.553821414,5.151107709,7,3,Part-time,Rural,Medium,2,120411.1507
36,27,Bachelors,Senior,Finance,Clerk,2,18,9,35,8,1,6.205779531,7.781422374,5,2,Contract,Semi-Urban,Large,2,108761.4864
57,7,Bachelors,Mid,Sales,Clerk,1,2,7,47,17,3,4.654982469,3.839639537,0,1,Contract,Urban,Small,4,46433.54991
48,14,Bachelors,Mid,HR,Manager,1,4,3,37,17,11,1.635424561,9.87769007,6,1,Full-time,Urban,Large,2,71340.65265
46,25,Bachelors,Mid,HR,Clerk,5,2,8,42,15,4,5.987560938,6.999757618,3,1,Contract,Rural,Small,5,115012.2701
46,2,Bachelors,Mid,IT,Manager,3,3,2,39,4,9,8.06381227,6.053601513,1,3,Contract,Urban,Medium,5,54061.13409
21,11,Bachelors,Junior,Finance,Engineer,5,12,6,36,15,5,7.196147338,9.239637731,4,4,Contract,Semi-Urban,Large,2,80453.71261
23,2,PhD,Senior,HR,Clerk,5,1,1,37,10,2,2.244037869,9.717595762,6,0,Contract,Urban,Small,2,63044.15278
44,16,Bachelors,Junior,IT,Engineer,5,18,9,42,12,7,6.27531732,9.457339719,5,2,Full-time,Semi-Urban,Medium,3,109010.125
48,14,PhD,Mid,IT,Manager,2,11,8,40,19,5,2.297468663,2.091010505,8,4,Part-time,Urban,Small,1,74459.68127
51,29,Bachelors,Senior,Finance,Manager,2,5,3,36,11,14,8.414394883,9.301310681,1,3,Part-time,Rural,Small,4,127968.9677
31,13,PhD,Mid,HR,Clerk,3,13,8,52,2,8,6.557704969,1.066477957,3,0,Full-time,Urban,Large,3,82322.47852
29,21,Bachelors,Junior,Finance,Manager,5,6,9,57,12,11,6.106541795,2.673031288,8,2,Part-time,Semi-Urban,Medium,1,90024.17934
58,17,Bachelors,Junior,HR,Manager,1,6,8,54,5,1,5.675067185,3.543917307,9,3,Contract,Rural,Large,4,69022.76795
26,1,Bachelors,Senior,IT,Clerk,3,8,9,36,12,3,2.623104955,1.501300003,2,2,Part-time,Urban,Small,3,53037.66496
44,27,PhD,Senior,HR,Clerk,1,8,8,52,14,4,9.918465337,4.085191815,6,0,Full-time,Semi-Urban,Large,1,110404.6955
41,6,Bachelors,Senior,Sales,Manager,2,8,2,46,7,9,4.695557862,8.096600553,5,4,Part-time,Rural,Medium,3,73916.47853
41,8,Masters,Mid,Sales,Manager,3,18,4,37,1,5,7.967351462,5.394132315,6,4,Full-time,Rural,Small,4,87418.31024
34,13,PhD,Junior,Finance,Engineer,5,14,7,55,14,8,1.952535649,5.901315618,9,2,Full-time,Rural,Medium,5,82579.11439
51,21,Masters,Junior,HR,Engineer,4,7,2,57,3,9,7.460019853,6.070054748,1,0,Part-time,Urban,Medium,1,100561.0856
53,19,Masters,Mid,HR,Clerk,4,19,0,55,11,3,7.345488464,8.839021288,0,2,Full-time,Rural,Small,1,97581.31401
27,21,PhD,Junior,IT,Engineer,5,13,3,57,3,8,2.485308459,3.436619224,4,4,Part-time,Rural,Small,3,100967.2515
41,27,Masters,Senior,HR,Clerk,2,8,3,57,17,4,8.49835248,8.934492759,5,0,Contract,Semi-Urban,Small,1,112080.7438
33,26,PhD,Mid,Finance,Manager,3,14,1,53,3,11,7.556814045,2.036093784,4,2,Part-time,Urban,Medium,2,92308.12659
57,14,Bachelors,Senior,IT,Manager,4,3,9,40,9,10,7.716592692,8.414387848,9,2,Contract,Rural,Large,4,103393.8581
52,8,Bachelors,Senior,Sales,Analyst,3,8,7,35,18,11,3.97115801,3.870881983,7,1,Part-time,Urban,Medium,4,75173.21639
30,6,PhD,Mid,IT,Engineer,5,12,9,56,8,11,6.019136852,9.140243547,8,0,Part-time,Urban,Small,3,82725.42911
42,3,PhD,Mid,IT,Clerk,5,10,2,50,12,13,3.945687866,8.446224015,3,3,Part-time,Rural,Small,5,64396.15668
26,26,Masters,Mid,Sales,Clerk,1,17,0,41,5,12,7.150920329,5.123772966,4,4,Part-time,Urban,Large,2,114986.4479
55,24,Bachelors,Mid,HR,Clerk,4,16,0,54,8,13,4.999186425,1.678550852,8,3,Part-time,Urban,Small,2,89578.44745
25,12,Bachelors,Junior,Sales,Engineer,1,9,5,42,2,5,3.158858606,5.432153488,7,2,Full-time,Semi-Urban,Small,3,60835.44279
28,4,Masters,Junior,IT,Engineer,1,17,0,52,1,10,3.84293642,6.406888805,5,2,Contract,Urban,Small,1,64479.20299
30,6,Masters,Junior,Finance,Engineer,5,19,9,34,1,11,6.868990199,7.251590919,5,0,Contract,Urban,Medium,3,73879.8993
48,1,Masters,Junior,Finance,Analyst,1,17,4,35,12,2,5.393269731,3.943188991,0,4,Part-time,Rural,Large,1,45302.09652
57,24,Masters,Mid,HR,Engineer,2,7,2,31,10,12,7.548238492,4.775470609,1,2,Full-time,Urban,Medium,1,91726.80322
38,16,PhD,Junior,Finance,Engineer,3,15,3,36,7,2,1.911740704,9.682937689,5,2,Contract,Semi-Urban,Small,1,96437.26593
53,23,Masters,Senior,Sales,Analyst,3,19,5,41,11,10,4.224973684,5.544575725,6,3,Contract,Rural,Small,2,86966.46455
55,25,Bachelors,Senior,HR,Engineer,2,6,4,46,3,12,6.651480695,5.482468354,7,1,Full-time,Rural,Medium,5,115306.4427
30,0,Masters,Senior,Finance,Engineer,1,5,2,50,13,2,8.567451278,1.140016982,9,2,Part-time,Rural,Large,1,49403.47166
41,22,Bachelors,Senior,Finance,Manager,2,7,3,40,15,12,8.602502805,8.123280108,0,3,Part-time,Urban,Large,4,118037.4389
39,20,Masters,Junior,Sales,Clerk,2,17,2,42,17,7,2.275024105,2.22677942,7,1,Contract,Rural,Large,1,72070.15941
30,4,Masters,Senior,Sales,Analyst,4,8,3,45,14,10,1.824052034,6.477917644,3,4,Contract,Urban,Medium,5,53118.55321
55,8,PhD,Mid,Sales,Clerk,1,2,6,32,13,7,1.725894503,1.348260435,5,0,Full-time,Urban,Medium,3,62926.80703
40,16,Bachelors,Mid,HR,Manager,5,9,2,45,7,10,2.066054945,8.905218897,7,0,Contract,Urban,Large,1,108809.3176
33,5,PhD,Mid,Sales,Clerk,5,3,4,53,10,7,2.64372239,8.366868808,5,2,Part-time,Urban,Medium,2,74801.96496
50,24,Masters,Mid,IT,Analyst,4,8,5,47,6,13,5.993978501,1.394019696,6,3,Full-time,Rural,Small,5,106390.8021
36,23,Masters,Mid,HR,Engineer,4,1,4,36,17,12,6.626758426,8.686868744,3,4,Part-time,Urban,Medium,1,116050.0009
51,24,PhD,Junior,Finance,Manager,2,13,9,44,9,3,4.851663876,4.251013691,6,2,Full-time,Semi-Urban,Large,3,90425.8803
40,12,Masters,Senior,Sales,Clerk,4,7,9,58,6,13,5.944319492,4.632325007,2,0,Full-time,Semi-Urban,Large,5,95098.1095
39,1,Masters,Mid,Sales,Clerk,3,6,3,30,14,8,2.332922856,5.597170662,9,1,Part-time,Rural,Medium,3,69322.52765
28,5,Masters,Mid,IT,Engineer,3,5,8,45,19,10,7.029439351,4.549756335,9,4,Contract,Urban,Medium,5,59435.14695
53,16,Bachelors,Mid,Finance,Analyst,1,18,1,45,5,11,9.218042515,1.801527645,7,3,Full-time,Urban,Small,2,68236.87569
25,29,Masters,Mid,Sales,Manager,1,17,5,54,4,11,3.46919342,9.702490885,6,3,Full-time,Urban,Large,5,104108.1825
38,18,Bachelors,Mid,HR,Manager,3,10,9,53,10,1,4.8230887,7.98191795,1,0,Part-time,Semi-Urban,Large,4,94901.39024
26,9,Masters,Mid,IT,Manager,4,17,0,34,2,3,5.150369608,7.926978205,2,2,Contract,Urban,Large,4,82637.74345
21,21,Bachelors,Junior,Finance,Engineer,3,9,6,58,7,12,1.589989171,5.713641799,9,3,Full-time,Urban,Large,2,93665.35933
27,8,PhD,Senior,Finance,Manager,3,19,8,41,11,13,3.415747497,2.902996612,1,1,Contract,Rural,Large,1,52745.34343
46,26,Masters,Mid,Finance,Manager,1,11,9,32,4,14,3.09047495,3.923591202,8,0,Contract,Urban,Medium,3,107683.7844
41,5,Bachelors,Mid,Sales,Manager,4,19,9,36,11,8,3.236978727,8.678019902,4,0,Contract,Rural,Large,2,68355.60261
38,4,Bachelors,Senior,Finance,Engineer,4,16,5,41,4,2,4.226537789,5.213150149,3,1,Full-time,Semi-Urban,Large,1,60926.31797
27,21,PhD,Junior,IT,Clerk,3,12,7,59,10,9,1.103532532,2.247633604,8,1,Part-time,Rural,Medium,1,87762.69286
